##Areaname	Larceny	Murder	MVTheft	Robbery	MinorsNHI	EstimatedPop
##UNITED STATES	6384687	16107	1196608	405471	10.8	295753151
##ALABAMA	97640	308	10796	5636	7.8	4545049
Sevier, AR	113	0	8	2	18.6	16321
Sharp, AR	143	0	19	1	9.8	17541
Stone, AR	13	0	2	0	13.2	11684
Union, AR	1015	7	126	44	8.8	43605
Van Buren, AR	117	1	23	1	14	16318
Washington, AR	4854	7	398	49	14.8	184095
White, AR	1384	1	192	18	10.5	71435
Woodruff, AR	77	0	7	2	11	8021
Yell, AR	61	1	8	0	17.4	21291
##CALIFORNIA	688818	2503	256998	63424	12.7	35795255
Alameda, CA	32088	126	17453	4479	9.6	1436453
Alpine, CA	79	0	0	0	14.2	1123
Amador, CA	565	0	73	11	11.3	37788
Butte, CA	3756	10	1344	166	9.5	214831
Calaveras, CA	475	2	142	7	15.5	45688
Colusa, CA	320	0	62	4	18.5	20541
Contra Costa, CA	22808	80	9147	1809	10.6	999271
Del Norte, CA	433	1	105	11	8.9	28471
El Dorado, CA	2104	5	518	42	14	173500
Fresno, CA	26165	77	8135	1606	9.7	867438
Glenn, CA	486	0	86	6	16	27452
Humboldt, CA	2753	3	733	98	9.8	128943
Imperial, CA	2944	0	1068	111	12.5	153047
Inyo, CA	297	1	42	7	13	17737
Kern, CA	19612	69	5895	952	10.6	747315
Kings, CA	2508	4	633	84	13.3	143178
Lake, CA	912	1	146	14	12	64143
Lassen, CA	307	3	29	4	9.4	34037
Los Angeles, CA	156681	1069	70621	26694	11.6	9803912
Madera, CA	2170	10	813	113	15.3	139672
Marin, CA	3874	3	814	152	12	244024
Mariposa, CA	261	0	17	0	14.4	17714
Mendocino, CA	1094	4	188	46	12.5	86803
Merced, CA	5730	22	1413	249	9.8	237901
Modoc, CA	78	0	7	1	14	9261
Mono, CA	298	0	27	4	24.3	12888
Monterey, CA	9490	14	2319	569	14.5	405090
Napa, CA	2272	1	348	44	16.8	129859
Nevada, CA	1070	2	202	24	18.1	96554
Orange, CA	45527	76	13077	2751	14.2	2957263
Placer, CA	6195	5	1364	121	9.4	314619
Plumas, CA	348	0	41	3	14.4	20957
Riverside, CA	41766	109	14979	2490	19.6	1917401
Sacramento, CA	33177	110	15936	3333	9.2	1354695
San Benito, CA	853	1	213	29	12.5	54930
San Bernardino, CA	35329	174	15885	3024	15.7	1943934
San Diego, CA	54115	98	25736	3940	17	2941770
San Francisco, CA	20575	96	8245	3097	9.9	777660
San Joaquin, CA	22292	56	7172	1750	10.2	654451
San Luis Obispo, CA	4434	4	524	90	11.4	257567
San Mateo, CA	12561	30	2732	715	13.1	692199
Santa Barbara, CA	6541	9	1112	252	17.2	400256
Santa Clara, CA	29066	43	7915	1312	9.3	1682383
Santa Cruz, CA	7256	5	1059	232	13.1	248957
Shasta, CA	3590	4	857	96	9.4	177537
Sierra, CA	33	0	4	0	18.6	3332
Siskiyou, CA	770	4	92	6	12	44409
Solano, CA	6558	29	1789	428	9.6	406605
Sonoma, CA	8417	5	1310	288	13.7	461359
Stanislaus, CA	15988	30	6356	663	10.2	498592
Sutter, CA	2258	3	409	61	13.5	87670
Tehama, CA	1048	3	213	29	12.6	59587
Trinity, CA	36	1	67	5	14.8	13631
Tulare, CA	11733	54	3882	465	11.7	403653
Tuolumne, CA	878	3	215	15	11	56267
Ventura, CA	10966	32	1988	729	13.1	786058
Yolo, CA	3683	4	983	147	11.5	185850
Yuba, CA	1195	8	463	46	10.4	67029
##COLORADO	123365	169	25342	3871	12.5	4660780
Adams, CO	13173	15	3694	348	12.5	397463
Alamosa, CO	294	0	17	5	12.6	15317
Arapahoe, CO	14734	30	3796	739	11.5	525293
Archuleta, CO	155	0	13	2	18.8	11623
Baca, CO	6	0	0	0	21.1	3979
Bent, CO	56	0	7	0	10.8	6169
Boulder, CO	4450	2	425	41	13.1	286545
Broomfield, CO	1404	0	170	11	10.6	48490
Chaffee, CO	286	0	16	1	17.1	16710
Cheyenne, CO	17	0	1	0	22	1875
Clear Creek, CO	204	0	20	0	15.5	9011
Conejos, CO	0	0	0	0	17.9	8190
Costilla, CO	2	0	1	0	14.7	3370
Crowley, CO	0	0	0	0	11.5	5939
Custer, CO	23	0	2	0	32.3	3879
Delta, CO	303	1	34	2	14.9	29491
Denver, CO	18772	59	8027	1432	14.9	561323
Dolores, CO	11	0	3	0	20.3	1803
Douglas, CO	3484	2	316	37	9.8	246058
Eagle, CO	1102	1	37	8	20.4	47719
Elbert, CO	106	0	16	0	19.1	22374
El Paso, CO	16799	14	2188	471	11.2	567103
Fremont, CO	784	0	40	6	9.6	46930
Garfield, CO	914	0	126	4	15.4	49177
Gilpin, CO	68	0	2	0	15	4939
Grand, CO	204	0	7	0	18	13114
Gunnison, CO	342	0	22	0	18.5	14403
Hinsdale, CO	5	0	0	0	22.7	792
Huerfano, CO	105	1	10	0	11.8	7763
Jackson, CO	5	0	4	0	25.8	1422
Jefferson, CO	15003	10	3289	336	11.2	522007
Kiowa, CO	2	0	0	0	19.6	1385
Kit Carson, CO	117	0	6	0	20	8010
Lake, CO	67	0	4	0	18.4	7653
La Plata, CO	1507	2	104	8	14.6	47792
Larimer, CO	6167	5	659	83	9.9	275477
Las Animas, CO	139	0	8	0	14.8	15608
Lincoln, CO	18	0	2	1	14	5471
Logan, CO	330	0	27	4	12.6	20849
Mesa, CO	3847	1	428	40	10.7	129457
Mineral, CO	1	0	0	0	24.6	923
Moffat, CO	298	0	21	9	12.8	13122
Montezuma, CO	476	1	30	0	12.4	24468
Montrose, CO	591	1	20	7	16.3	37069
Morgan, CO	490	0	29	7	15.2	27567
Otero, CO	413	1	15	6	11.5	19184
Ouray, CO	17	0	2	0	29.7	4160
Park, CO	24	0	11	1	20.6	16560
Phillips, CO	15	0	0	0	30.6	4524
Pitkin, CO	557	1	22	0	15.6	14905
Prowers, CO	372	0	15	0	14.1	13684
Pueblo, CO	6184	13	547	168	7.1	149677
Rio Blanco, CO	98	0	7	0	18	5832
Rio Grande, CO	124	0	3	0	11.6	12043
Routt, CO	405	0	22	1	16.3	21282
Saguache, CO	35	0	7	0	25.9	6822
San Juan, CO	10	0	0	0	28.6	565
San Miguel, CO	206	0	3	0	22.8	7193
Sedgwick, CO	5	0	3	0	28.7	2471
Summit, CO	1274	0	55	3	16.4	25287
Teller, CO	297	2	24	3	13.5	21282
Washington, CO	33	0	4	0	22.8	4718
Weld, CO	6340	7	944	85	15.3	225856
Yuma, CO	83	0	6	0	19.5	9613
##CONNECTICUT	59945	102	9241	3270	7	3477416
Fairfield, CT	14006	34	2542	1035	7.8	891015
Hartford, CT	19562	37	3476	1240	7.4	870039
Litchfield, CT	1657	0	130	25	6.4	187822
Middlesex, CT	2087	3	197	37	7	162025
New Haven, CT	15215	12	2047	680	5.8	839408
New London, CT	2799	2	261	132	7.1	265443
Tolland, CT	560	0	76	15	7.4	146492
Windham, CT	877	0	93	44	5.4	115172
##DELAWARE	18328	38	2389	1351	9.3	839906
Kent, DE	3199	4	288	99	9.2	143294
New Castle, DE	11576	24	1829	1120	8.8	520918
Sussex, DE	3553	10	272	132	11.3	175694
##DISTRICT OF COLUMBIA	14833	195	7720	3700	7.7	582049
District of Columbia	14833	195	7720	3700	7.7	582049
##FLORIDA	471360	879	75122	30076	16.4	17783868
Alachua, FL	6448	7	749	291	12.5	231849
Baker, FL	383	0	23	10	10.6	24382
Bay, FL	5001	4	380	164	14.2	161586
Bradford, FL	281	1	35	6	11.7	28191
Brevard, FL	11499	18	1188	499	11.8	526088
Broward, FL	44903	63	7213	3372	17.2	1766620
Calhoun, FL	67	1	15	0	13.7	13352
Charlotte, FL	3437	2	312	64	17	153407
Citrus, FL	1798	6	140	28	15.8	132947
Clay, FL	2773	5	342	70	14.2	168280
Collier, FL	4569	9	422	218	24.8	306640
Columbia, FL	1396	5	142	46	11.8	63916
DeSoto, FL	705	1	61	17	21.8	34258
Dixie, FL	266	0	22	6	13.8	14600
Duval, FL	31796	96	5166	2349	11.3	830828
Escambia, FL	8075	10	991	463	10.8	302476
Flagler, FL	1152	1	135	45	20.7	75420
Franklin, FL	155	0	19	3	18.6	10055
Gadsden, FL	815	6	73	55	14.9	45863
Gilchrist, FL	189	0	35	1	21.2	16217
Glades, FL	147	1	28	11	31.2	11270
Gulf, FL	138	1	13	5	12.8	15658
Hamilton, FL	127	1	25	6	13.6	13762
Hardee, FL	514	2	54	13	19.7	27846
Hendry, FL	903	3	114	78	20.4	38521
Hernando, FL	3331	0	329	56	14.5	156478
Highlands, FL	1703	3	158	63	18.2	95174
Hillsborough, FL	33863	47	6264	2180	13.8	1132025
Holmes, FL	143	0	24	0	10.4	18882
Indian River, FL	3035	2	272	85	17.5	126778
Jackson, FL	629	5	63	12	12.4	48460
Jefferson, FL	120	0	18	5	16.8	13831
Lafayette, FL	31	0	2	0	29	7868
Lake, FL	4468	13	587	143	18.2	275559
Lee, FL	11341	33	2363	823	22.6	541542
Leon, FL	6929	11	936	461	9.6	253978
Levy, FL	851	3	58	8	19.6	37357
Liberty, FL	18	0	5	1	19.7	7577
Madison, FL	396	3	17	25	12.5	18801
Manatee, FL	10021	14	1147	537	18.5	305054
Marion, FL	5283	15	599	251	18.5	301714
Martin, FL	2462	3	249	144	20.7	138474
Miami-Dade, FL	84178	171	17264	7387	18.8	2413583
Monroe, FL	2547	1	257	69	25.5	76135
Nassau, FL	946	0	120	21	15.6	64526
Okaloosa, FL	3909	3	388	106	15.8	183398
Okeechobee, FL	630	2	88	21	20.2	39380
Orange, FL	33772	74	6727	3215	13.6	1029447
Osceola, FL	5502	9	682	271	17.8	231926
Palm Beach, FL	35620	69	6151	2452	21	1262956
Pasco, FL	8340	15	1051	213	18.7	425683
Pinellas, FL	27579	50	4195	1538	11.7	924628
Polk, FL	14432	19	1774	510	16	538638
Putnam, FL	1941	2	286	58	12.4	72750
St. Johns, FL	2737	3	249	69	15.8	160508
St. Lucie, FL	4628	11	773	256	16.7	237569
Santa Rosa, FL	1547	2	181	16	14.5	142364
Sarasota, FL	8773	9	847	271	20.8	363146
Seminole, FL	8416	7	1230	325	15.6	402834
Sumter, FL	667	0	69	13	21	63405
Suwannee, FL	526	1	52	14	16.9	38055
Taylor, FL	256	0	19	6	10.4	19861
Union, FL	131	0	33	4	12.1	14350
Volusia, FL	10781	28	1758	609	14.3	485940
Wakulla, FL	307	3	25	5	16.5	27799
Walton, FL	792	3	77	13	24.7	49581
Washington, FL	242	2	38	0	15.1	21822
##GEORGIA	227479	541	42000	13436	11.4	9097428
Appling, GA	193	0	16	3	11.5	17713
Atkinson, GA	123	0	6	1	16.8	7976
Bacon, GA	37	0	13	0	12.5	10277
Baker, GA	2	0	1	0	17.4	3996
Baldwin, GA	1233	4	67	22	7.1	45699
Banks, GA	394	0	35	2	15.3	15913
Barrow, GA	1352	2	189	31	13.8	59390
Bartow, GA	2990	1	457	42	10.5	88150
Ben Hill, GA	346	2	25	6	9.7	17214
Berrien, GA	192	1	19	4	10.4	16616
Bibb, GA	8307	28	1403	365	6.4	154272
Bleckley, GA	278	2	7	4	9.8	12039
Brantley, GA	233	1	34	1	12.9	15272
Brooks, GA	365	0	38	9	14.2	16114
Bryan, GA	377	0	33	26	12.8	27793
Bulloch, GA	1559	4	101	48	10.6	63548
Burke, GA	720	3	73	24	13	22843
Butts, GA	460	2	65	5	10.4	22453
Calhoun, GA	21	0	0	2	12.1	6035
Camden, GA	993	1	73	22	10.4	45798
Candler, GA	181	0	10	11	14.4	10049
Carroll, GA	3495	2	332	58	9.1	104465
Catoosa, GA	1458	3	238	26	8.9	59668
Charlton, GA	53	0	3	0	8.2	10582
Chatham, GA	8886	33	1649	747	9.3	239889
Chattahoochee, GA	37	0	7	0	19.9	16275
Chattooga, GA	93	0	16	2	9.4	25956
Cherokee, GA	2345	7	269	25	12.6	182858
Clarke, GA	4610	5	371	138	12.8	109083
Clay, GA	3	0	1	0	10.2	3158
Clayton, GA	7595	27	2326	675	9.6	264866
Clinch, GA	32	1	2	0	7.9	7044
Cobb, GA	13747	36	2598	823	11.6	661442
Coffee, GA	1139	0	93	8	12.4	39145
Colquitt, GA	1512	5	160	75	13.3	43342
Columbia, GA	1746	1	128	29	10.5	102209
Cook, GA	74	1	18	6	11.2	16277
Coweta, GA	1709	1	239	30	12	108841
Crawford, GA	222	0	39	2	13	12607
Crisp, GA	998	2	40	32	8	21774
Dade, GA	64	0	13	2	10.2	15877
Dawson, GA	439	1	105	1	17.9	19666
Decatur, GA	983	1	43	28	8.9	27962
DeKalb, GA	18432	86	7408	2353	12	716778
Dodge, GA	50	0	7	3	9.6	19506
Dooly, GA	97	0	8	5	10.5	11629
Dougherty, GA	3330	8	358	224	5.6	95177
Douglas, GA	4193	3	510	138	12.6	112370
Early, GA	116	0	19	5	8.7	12015
Echols, GA	0	0	0	0	25	4116
Effingham, GA	487	0	60	10	10.5	46508
Elbert, GA	417	1	27	8	12	20633
Emanuel, GA	101	1	31	4	10.4	22045
Evans, GA	0	0	0	0	14.1	11244
Fannin, GA	18	0	1	1	15.1	21737
Fayette, GA	1416	1	145	25	10.8	102556
Floyd, GA	3169	2	304	85	9.9	94159
Forsyth, GA	2267	0	227	22	14.2	138386
Franklin, GA	405	0	54	10	11.5	21473
Fulton, GA	32398	119	8440	3723	9.4	934242
Gilmer, GA	193	0	57	1	17.1	27236
Glascock, GA	0	0	0	0	12.1	2613
Glynn, GA	2776	2	192	116	12.4	71469
Gordon, GA	958	0	41	21	13.4	49608
Grady, GA	459	1	32	17	16.5	24228
Greene, GA	309	0	21	10	15.1	15415
Gwinnett, GA	13898	30	3057	1027	13.4	716436
Habersham, GA	566	1	91	3	17.5	39323
Hall, GA	4011	6	660	58	17.1	165245
Hancock, GA	27	1	3	0	9	9449
Haralson, GA	716	2	130	5	9.1	28090
Harris, GA	300	1	24	5	15	27339
Hart, GA	387	0	47	7	12.3	23867
Heard, GA	157	0	43	4	12.6	11220
Henry, GA	1285	1	212	37	10.3	166966
Houston, GA	3208	2	306	124	12.1	125862
Irwin, GA	172	1	21	3	14.7	10106
Jackson, GA	873	0	112	10	12.8	51949
Jasper, GA	91	0	18	0	14.3	13025
Jeff Davis, GA	429	0	40	1	12	13017
Jefferson, GA	198	1	23	6	8.1	16614
Jenkins, GA	0	0	0	0	8.8	8581
Johnson, GA	25	0	3	1	12	8893
Jones, GA	403	0	74	5	11.7	26652
Lamar, GA	191	1	33	1	8.1	16566
Lanier, GA	0	0	0	0	10.4	7398
Laurens, GA	1382	3	107	25	8.3	46629
Lee, GA	461	0	19	2	9.4	30881
Liberty, GA	1862	1	102	67	21	63011
Lincoln, GA	16	0	4	1	14.2	8168
Long, GA	80	0	9	2	24.2	10908
Lowndes, GA	3764	10	269	126	8.4	98504
Lumpkin, GA	425	1	44	4	17	24818
McDuffie, GA	417	0	26	8	7.8	21386
McIntosh, GA	109	0	19	1	11.7	10907
Macon, GA	128	0	18	0	9.9	13525
Madison, GA	519	0	42	10	13.8	27203
Marion, GA	0	0	0	0	16	7000
Meriwether, GA	452	0	152	11	8.9	22814
Miller, GA	77	1	1	0	13	6092
Mitchell, GA	205	0	12	2	8.6	23464
Monroe, GA	334	0	65	6	12	23607
Montgomery, GA	8	0	1	0	18.6	8868
Morgan, GA	171	0	14	5	13.3	17279
Murray, GA	422	0	50	1	12.5	40123
Muscogee, GA	8831	22	1682	446	8.2	188485
Newton, GA	1423	0	241	38	11.5	85657
Oconee, GA	286	0	44	0	13	29303
Oglethorpe, GA	114	0	18	3	17.7	13424
Paulding, GA	1894	1	390	12	12.2	111084
Peach, GA	591	1	53	17	10.5	24460
Pickens, GA	183	1	20	0	14	28141
Pierce, GA	498	0	16	5	12.4	17129
Pike, GA	111	0	23	3	17.7	15968
Polk, GA	922	0	97	30	12.9	40300
Pulaski, GA	68	0	12	1	14	9650
Putnam, GA	273	1	22	12	14.1	19623
Quitman, GA	1	0	1	0	8.3	2599
Rabun, GA	223	1	42	1	21.4	16150
Randolph, GA	13	0	1	1	8.6	7332
Richmond, GA	9682	14	1861	628	8.6	196821
Rockdale, GA	2377	3	419	88	12.2	77810
Schley, GA	36	0	8	0	14.1	3942
Screven, GA	88	0	5	3	9.5	15185
Seminole, GA	89	0	12	1	11	9083
Spalding, GA	1909	1	241	77	8.3	61278
Stephens, GA	262	0	57	5	9.2	25074
Stewart, GA	14	2	3	0	11.6	4795
Sumter, GA	819	0	27	16	8.8	32362
Talbot, GA	30	2	13	1	15.1	6585
Taliaferro, GA	24	1	3	0	12.3	1854
Tattnall, GA	325	0	30	7	17.3	22820
Taylor, GA	28	1	6	0	12.6	8708
Telfair, GA	101	1	9	4	8.6	13227
Terrell, GA	157	0	10	2	8	10545
Thomas, GA	954	0	57	19	8.7	44273
Tift, GA	1618	12	134	64	13.5	40481
Toombs, GA	482	1	39	29	12.3	26900
Towns, GA	108	0	12	2	18.4	10260
Treutlen, GA	91	0	8	0	8.6	6732
Troup, GA	2940	2	226	90	7.4	62245
Turner, GA	47	0	5	1	10	9488
Twiggs, GA	30	0	4	1	12	10469
Union, GA	0	0	0	0	17.4	19797
Upson, GA	611	1	55	7	7.8	27492
Walker, GA	1617	2	195	17	9.5	63148
Walton, GA	1208	0	180	15	9.8	75494
Ware, GA	1299	5	104	36	10.2	34922
Warren, GA	3	0	0	0	9.9	6063
Washington, GA	411	1	20	5	8.2	19914
Wayne, GA	0	0	0	0	9	28263
Webster, GA	0	0	0	0	14	2240
Wheeler, GA	26	0	7	0	14.8	6589
White, GA	368	0	61	0	16.5	23769
Whitfield, GA	3006	1	344	59	15.8	89975
Wilcox, GA	25	0	1	0	11.6	8599
Wilkes, GA	76	0	9	2	10.2	10332
Wilkinson, GA	93	0	11	2	12.5	10083
Worth, GA	138	0	14	2	9.2	21432
##HAWAII	35746	20	8023	922	5.3	1266117
Hawaii, HI	0	0	0	0	6.6	164887
Honolulu, HI	29376	15	6798	841	4.8	900340
Kalawao, HI	0	0	0	0	0	119
Kauai, HI	692	2	63	7	8.7	61759
Maui, HI	5678	3	1162	74	5.8	139012
##IDAHO	27356	40	2836	263	10.2	1425862
Ada, ID	7638	10	685	108	8.9	346612
Adams, ID	16	0	4	0	16.1	3524
Bannock, ID	1921	1	92	8	6.8	78604
Bear Lake, ID	5	0	1	0	11.2	5936
Benewah, ID	31	0	3	1	8.7	9050
Bingham, ID	714	4	75	5	10.6	42909
Blaine, ID	222	0	25	2	21	21253
Boise, ID	79	0	7	1	17.5	7249
Bonner, ID	680	1	67	3	11	39856
Bonneville, ID	2032	0	186	13	9.4	90666
Boundary, ID	104	0	12	0	11.4	10378
Butte, ID	3	0	0	0	17.6	2781
Camas, ID	4	0	3	0	18.1	1060
Canyon, ID	3919	9	703	43	9.5	163234
Caribou, ID	31	0	2	1	10.1	6953
Cassia, ID	407	0	37	1	11.8	20919
Clark, ID	6	0	1	0	22.8	914
